PLACA,Grupo,Modelo Original frota,Modelo Padrão,Modelo Simplificado,Ano,Idade
SEL1F43,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER,2024,1.0
SEL1F45,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER,2024,1.0
SEL2B40,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER,2024,1.0
SEL5J83,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2024,1.0
SEL5J84,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2024,1.0
SEL5J85,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2024,1.0
SEL5J86,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2024,1.0
SEL5J90,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2024,1.0
SEL7G42,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER,2024,1.0
SEN1C13,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
SEN1C55,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
SEN1C56,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
SEN8A12,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180,CAMINHÃO 3/4,2023,2.0
SEO2G25,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180,CAMINHÃO 3/4,2023,2.0
SEO8J46,Caminhão17Ton,30-330 CONSTELLATION 8X2 2P (DIESEL)(E5),VOLVO VM 330 ,CAMINHÃO BITRUCK,2023,2.0
