PLACA,Grupo,Modelo Original frota,Modelo Padrão,Modelo Simplificado,Ano,Idade
SDR4D53,Leve,VOYAGE 1.0 FLEX 12V 4P,VW VOYAGE,VW VOYAGE,2023,2.0
SDR4D58,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SDR4D86,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SDR4D95,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2022,3.0
SDR4D98,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SDR4D99,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 6,VW GOL ,2023,2.0
SDR4E25,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SDR4E26,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SDR4E38,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SDR5H06,Leve,208 ACTIVE 1.6 FLEX 16V 5P AUT.,PEUGEOT ,PEUGEOT ,2023,2.0
SDR8D99,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2022,4.0
SDR8E01,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDR8E04,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2022,4.0
SDR8E07,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDR8E10,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDR8E58,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SDR8E61,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SDR8E99,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SDR9D23,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SDR9E30,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDS1H16,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
